Item Name,Price (USD),Quantity,Total (USD),Purchase Link
UNO R3,3.16$,1,3.16$,https://www.aliexpress.com/item/1005007067378319.html?spm=a2g0o.productlist.main.4.6b0fErgqErgqXu&algo_pvid=b32ccc55-d85d-4c80-8091-4c372448cec3&algo_exp_id=b32ccc55-d85d-4c80-8091-4c372448cec3-3&pdp_ext_f=%7B%22order%22%3A%22374%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%214.41%213.71%21%21%2122.52%2118.94%21%402101c5ac17509895916125615e9753%2112000045860150383%21sea%21CA%210%21ABX&curPageLogUid=fa7TvALOH2tl&utparam-url=scene%3Asearch%7Cquery_from%3A#nav-review
LCD 16x2 Screen with I2C Backpack,6.36$,1,6.36$,https://www.aliexpress.com/item/1005007531187322.html?spm=a2g0o.productlist.main.1.5d784ce5eyOWNG&algo_pvid=fc00ab46-3df4-496d-a3c0-24d5391c7037&algo_exp_id=fc00ab46-3df4-496d-a3c0-24d5391c7037-0&pdp_ext_f=%7B%22order%22%3A%22581%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%216.36%213.57%21%21%2145.31%2125.44%21%402103244817509897529692273e72c6%2112000041176830269%21sea%21CA%210%21ABX&curPageLogUid=utnPviOnJtLh&utparam-url=scene%3Asearch%7Cquery_from%3A
12-12-5.5mm 4 pin push button 20pc,2.11$,1,2.11$,https://www.aliexpress.com/item/1005008563113806.html?spm=a2g0o.productlist.main.6.206563b7uoMEs2&aem_p4p_detail=2025062619055115499861486789480002718449&algo_pvid=655292de-6578-4500-9a6d-94f83ff5c00c&algo_exp_id=655292de-6578-4500-9a6d-94f83ff5c00c-5&pdp_ext_f=%7B%22order%22%3A%2212%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%212.03%211.53%21%21%212.03%211.53%21%40210308a417509899514817291e3594%2112000045733129472%21sea%21CA%210%21ABX&curPageLogUid=mBIFI1iJpsHx&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=2025062619055115499861486789480002718449_2
resistors 60pc, 2.51$, 2, 2.51$, https://www.aliexpress.com/item/1005005855324735.html?spm=a2g0o.productlist.main.1.2cb068e4sLPmai&algo_pvid=792230fe-d9ca-46e7-882d-aecfce0497bb&algo_exp_id=792230fe-d9ca-46e7-882d-aecfce0497bb-0&pdp_ext_f=%7B%22order%22%3A%223265%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%212.51%211.96%21%21%212.51%211.96%21%402103209b17509944350741900e8af4%2112000034587357832%21sea%21CA%210%21ABX&curPageLogUid=AVA3Sy7YfPeo&utparam-url=scene%3Asearch%7Cquery_from%3A
HC-SR0 Ultrasonic distance sensor, 1.05$, 1, 1.05$, https://www.aliexpress.com/item/1005008367173898.html?spm=a2g0o.productlist.main.3.7378409f1WHkh4&algo_pvid=f39d6842-df94-4f37-a817-07b625af2dd0&algo_exp_id=f39d6842-df94-4f37-a817-07b625af2dd0-2&pdp_ext_f=%7B%22order%22%3A%2215%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%211.05%210.78%21%21%211.05%210.78%21%402103201917509945107044931e9ccc%2112000044739276459%21sea%21CA%210%21ABX&curPageLogUid=Cbe61h3QHlPR&utparam-url=scene%3Asearch%7Cquery_from%3A
FS90R 360 Degree Continuous Rotation Servo, 6.23$, 2, 12.46$, https://www.aliexpress.com/item/1005007439824299.html?spm=a2g0o.productlist.main.13.75c1136aYXykco&algo_pvid=96939440-a71b-4739-8a87-f204329a0537&algo_exp_id=96939440-a71b-4739-8a87-f204329a0537-12&pdp_ext_f=%7B%22order%22%3A%2240%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%2120.16%216.23%21%21%21143.69%2144.41%21%402101c5bf17509905110702527e8b98%2112000040885981780%21sea%21CA%210%21ABX&curPageLogUid=BWrtsj1nJjWf&utparam-url=scene%3Asearch%7Cquery_from%3A
Bread Board, 2.92$, 1, 2.92$, https://www.aliexpress.com/item/1005004532352681.html?spm=a2g0o.productlist.main.1.2ab15f67xsZ8Ow&algo_pvid=1e03ee81-1424-4dc6-952e-1c1fe8d5da8f&algo_exp_id=1e03ee81-1424-4dc6-952e-1c1fe8d5da8f-0&pdp_ext_f=%7B%22order%22%3A%223887%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%211.49%210.99%21%21%211.49%210.99%21%402101c80217509946017065004e5be4%2112000031109052416%21sea%21CA%210%21ABX&curPageLogUid=dlkWPoEh6QdY&utparam-url=scene%3Asearch%7Cquery_from%3A
1M LED Strip, 4.76$, 1, 4.76$, https://www.aliexpress.com/item/2036819167.html?spm=a2g0o.productlist.main.2.41212b7f5u06iu&aem_p4p_detail=202506261921121645690288440000002720352&algo_pvid=1a345e91-ea4b-4e8e-b47f-c4fcb56746ca&algo_exp_id=1a345e91-ea4b-4e8e-b47f-c4fcb56746ca-1&pdp_ext_f=%7B%22order%22%3A%225987%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%214.50%212.65%21%21%214.50%212.65%21%40210308a417509908727244730e359c%2112000033705280747%21sea%21CA%210%21ABX&curPageLogUid=p8OmJoUnrPnH&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202506261921121645690288440000002720352_1
Spring Coil (10pc), 5.10$, 1, 5.10$, https://www.aliexpress.com/item/1005002799102318.html?spm=a2g0o.productlist.main.6.50079beeEcilm2&aem_p4p_detail=202506261935274393388435789880002721047&algo_pvid=5a70a28a-4907-4d4c-b71b-6398590903ee&algo_exp_id=5a70a28a-4907-4d4c-b71b-6398590903ee-5&pdp_ext_f=%7B%22order%22%3A%221045%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%213.32%212.82%21%21%213.32%212.82%21%402101c67a17509917272356774ee901%2112000022238159111%21sea%21CA%210%21ABX&curPageLogUid=oGE0vX9NHgnu&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202506261935274393388435789880002721047_2
Clear Plastic Sheet, 4.23$, 1, 4.23$, https://www.aliexpress.com/item/1005007362097803.html?spm=a2g0o.productlist.main.3.5e0e4408mSyeYu&algo_pvid=b9b7082a-9f72-49ee-9dd3-46f1466eadcb&algo_exp_id=b9b7082a-9f72-49ee-9dd3-46f1466eadcb-2&pdp_ext_f=%7B%22order%22%3A%22391%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%2113.90%214.23%21%21%2199.04%2130.11%21%402103244b17509921407302998ece44%2112000040431017713%21sea%21CA%210%21ABX&curPageLogUid=V1hjcf34dqUL&utparam-url=scene%3Asearch%7Cquery_from%3A
M2.5mm x 16mm flathead screws (50pc), 4.88$, 1, 4.88$, https://www.aliexpress.com/item/4000064353917.html?spm=a2g0o.productlist.main.1.59c9CuF6CuF6sU&algo_pvid=d7cf3d97-478f-4a74-ac51-df7bf1b72e96&algo_exp_id=d7cf3d97-478f-4a74-ac51-df7bf1b72e96-0&pdp_ext_f=%7B%22order%22%3A%223%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%213.97%213.61%21%21%2128.30%2125.75%21%402101d9ee17510557970072153e3ac0%2112000027738626936%21sea%21CA%210%21ABX&curPageLogUid=5n2K4Dab0fOO&utparam-url=scene%3Asearch%7Cquery_from%3A
